Year,Month,Platform,Channel,KPI,Actual,Target
2025,May,Customer Portal,LKA,Order Frequency,3.2,
2025,May,Customer Portal,LKA,Fulfillment Rate %,83,
2025,May,Customer Portal,LKA,Digital Order Share %,32.4,
2025,May,Customer Portal,LKA,Volume UC,287817,125226
2025,May,Customer Portal,LKA,UC per Order,118,
2025,May,Customer Portal,LKA,Digital Volume Share %,33.25,
2025,Jun,Customer Portal,LKA,Registered Customers,1408,1307
2025,Jun,Customer Portal,LKA,Active Customers,949,431
2025,Jun,Customer Portal,LKA,Delivered Orders,3400,854
2025,Jun,Customer Portal,LKA,Order Frequency,3.6,
2025,Jun,Customer Portal,LKA,Fulfillment Rate %,80,
2025,Jun,Customer Portal,LKA,Digital Order Share %,38.24,
2025,Jun,Customer Portal,LKA,Volume UC,441514,172072
2025,Jun,Customer Portal,LKA,UC per Order,130,
2025,Jun,Customer Portal,LKA,Digital Volume Share %,36.68,
2025,Jul,Customer Portal,LKA,Registered Customers,1419,1408
2025,Jul,Customer Portal,LKA,Active Customers,818,957
2025,Jul,Customer Portal,LKA,Delivered Orders,2701,2872
2025,Jul,Customer Portal,LKA,Order Frequency,3.3,
2025,Jul,Customer Portal,LKA,Fulfillment Rate %,77,
2025,Jul,Customer Portal,LKA,Digital Order Share %,30.4,
2025,Jul,Customer Portal,LKA,Volume UC,329814,419013
2025,Jul,Customer Portal,LKA,UC per Order,122,
2025,Jul,Customer Portal,LKA,Digital Volume Share %,30.8,
2025,Aug,Customer Portal,LKA,Registered Customers,1326,1408
2025,Aug,Customer Portal,LKA,Active Customers,814,957
2025,Aug,Customer Portal,LKA,Delivered Orders,2881,2872
2025,Aug,Customer Portal,LKA,Order Frequency,3.5,
2025,Aug,Customer Portal,LKA,Fulfillment Rate %,76,
2025,Aug,Customer Portal,LKA,Digital Order Share %,28.6,
2025,Aug,Customer Portal,LKA,Volume UC,166942,457087
2025,Aug,Customer Portal,LKA,UC per Order,58,
2025,Aug,Customer Portal,LKA,Digital Volume Share %,30.25,
